#Name	Car.v	DistanceKm	Driver.Brake	Driver.Gas	Driver.GearNo	Fefficiency	FullBatteryCapacity	PT.BattHV.Energy	Time	Time.Global	UsedCapacity	Vhcl.Wind.vx	Vhcl.Wind.vy	Vhcl.Wind.vz
#Unit	m/s	Km	-	-	-	wh per km	kwh	kWh	s	s	kwh	m/s	m/s	m/s
#nStates	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	                 0	                 0	                 0	                 0	                 0	       -2147483648	              12.8	              8.96	                 0	             0.624	              3.84	                 0	                 0	                 0
	        0.40707813	     0.00010334893	                 0	                 1	                 0	          37156818	              12.8	         8.9598816	                 1	             1.624	          3.840118	                 0	                 0	                 0
	         1.4260804	      0.0010153197	                 0	                 1	                 0	           3782872	              12.8	         8.9591733	                 2	             2.624	         3.8408257	                 0	                 0	                 0
	         2.4568261	      0.0029563427	                 0	                 1	                 0	           1299632	              12.8	         8.9578385	                 3	             3.624	         3.8421598	                 0	                 0	                 0
	         3.4862748	      0.0059275095	                 0	                 1	                 0	            648520	              12.8	         8.9558847	                 4	             4.624	          3.844113	                 0	                 0	                 0
	         4.5124279	      0.0099271649	                 0	        0.98464328	                 0	            387488	              12.8	         8.9533308	                 5	             5.624	         3.8466664	                 0	                 0	                 0
	         5.3825474	       0.014900855	                 0	        0.73296253	                 0	            258318	              12.8	         8.9508364	                 6	             6.624	         3.8491612	                 0	                 0	                 0
	         5.8791784	       0.020564266	                 0	         0.4142773	                 0	            187254	              12.8	         8.9492421	                 7	             7.624	         3.8507565	                 0	                 0	                 0
	         5.9901991	       0.026528225	                 0	        0.13171443	                 0	            145175	              12.8	         8.9487544	                 8	             8.624	         3.8512453	                 0	                 0	                 0
	         5.8499165	       0.032459601	                 0	       0.024312323	                 0	            118643	              12.8	         8.9488671	                 9	             9.624	         3.8511331	                 0	                 0	                 0
	         5.6760464	       0.038220483	                 0	       0.045414046	                 0	            100758	              12.8	         8.9489452	                10	            10.624	         3.8510549	                 0	                 0	                 0
	         5.5497466	       0.043828222	                 0	        0.09533449	                 0	             87869	              12.8	         8.9488516	                11	            11.624	         3.8511483	                 0	                 0	                 0
	         5.4866334	       0.049341451	                 0	        0.14353564	                 0	             78056	              12.8	         8.9485741	                12	            12.624	         3.8514256	                 0	                 0	                 0
	         5.4742588	       0.054818521	                 0	        0.17638535	                 0	             70265	              12.8	         8.9481656	                13	            13.624	          3.851834	                 0	                 0	                 0
	         5.4915702	       0.060299836	                 0	        0.19199784	                 0	             63885	              12.8	         8.9476874	                14	            14.624	         3.8523121	                 0	                 0	                 0
	         5.5192399	        0.06580501	                 0	        0.19439886	                 0	             58548	              12.8	         8.9471904	                15	            15.624	         3.8528091	                 0	                 0	                 0
	         5.5447065	       0.071337511	                 0	        0.18934282	                 0	             54014	              12.8	         8.9467051	                16	            16.624	         3.8532944	                 0	                 0	                 0
	         5.5615077	       0.076891445	                 0	        0.18136212	                 0	             50119	              12.8	         8.9462464	                17	            17.624	         3.8537532	                 0	                 0	                 0
	         5.5687298	       0.082457284	                 0	        0.17438411	                 0	             46741	              12.8	         8.9458139	                18	            18.624	         3.8541857	                 0	                 0	                 0
	         5.5688187	       0.088026515	                 0	        0.16996804	                 0	             43789	              12.8	         8.9453994	                19	            19.624	         3.8546002	                 0	                 0	                 0
	         5.5651002	       0.093593661	                 0	        0.16816464	                 0	             41188	              12.8	         8.9449935	                20	            20.624	         3.8550061	                 0	                 0	                 0
	         5.5603981	       0.099156407	                 0	         0.1682089	                 0	             38882	              12.8	         8.9445888	                21	            21.624	         3.8554108	                 0	                 0	                 0
	         5.5564507	        0.10471472	                 0	        0.16928896	                 0	             36822	              12.8	          8.944181	                22	            22.624	         3.8558186	                 0	                 0	                 0
	          5.554081	        0.11026985	                 0	        0.17065035	                 0	             34970	              12.8	         8.9437685	                23	            23.624	         3.8562311	                 0	                 0	                 0
	         5.5532522	         0.1158234	                 0	        0.17174056	                 0	             33297	              12.8	         8.9433518	                24	            24.624	         3.8566478	                 0	                 0	                 0
	          5.553486	        0.12137671	                 0	        0.17237484	                 0	             31777	              12.8	         8.9429325	                25	            25.624	         3.8570671	                 0	                 0	                 0
	         5.5542266	        0.12693054	                 0	        0.17258433	                 0	             30390	              12.8	         8.9425121	                26	            26.624	         3.8574875	                 0	                 0	                 0
	         5.5550425	        0.13248518	                 0	        0.17251456	                 0	             29119	              12.8	         8.9420917	                27	            27.624	         3.8579079	                 0	                 0	                 0
	         5.5556823	        0.13804057	                 0	        0.17228717	                 0	             27950	              12.8	          8.941672	                28	            28.624	         3.8583276	                 0	                 0	                 0
	         5.5560435	        0.14359645	                 0	         0.1720288	                 0	             26872	              12.8	         8.9412533	                29	            29.624	         3.8587463	                 0	                 0	                 0
	         5.5561524	        0.14915257	                 0	        0.17182144	                 0	             25873	              12.8	         8.9408353	                30	            30.624	         3.8591643	                 0	                 0	                 0
	         5.5560934	         0.1547087	                 0	        0.17169087	                 0	             24947	              12.8	         8.9404179	                31	            31.624	         3.8595817	                 0	                 0	                 0
	         5.5559577	        0.16026473	                 0	        0.17163025	                 0	             24085	              12.8	         8.9400008	                32	            32.624	         3.8599988	                 0	                 0	                 0
	         5.5558158	        0.16582061	                 0	         0.1716167	                 0	             23280	              12.8	         8.9395837	                33	            33.624	         3.8604158	                 0	                 0	                 0
	          5.555708	        0.17137637	                 0	        0.17162351	                 0	             22528	              12.8	         8.9391667	                34	            34.624	         3.8608329	                 0	                 0	                 0
	         5.5556487	        0.17693205	                 0	        0.17163172	                 0	             21823	              12.8	         8.9387496	                35	            35.624	         3.8612499	                 0	                 0	                 0
	         5.5556328	        0.18248768	                 0	        0.17162872	                 0	             21161	              12.8	         8.9383326	                36	            36.624	          3.861667	                 0	                 0	                 0
	         5.5556474	        0.18804332	                 0	        0.17163769	                 0	             20538	              12.8	         8.9379156	                37	            37.624	          3.862084	                 0	                 0	                 0
	         5.5556935	        0.19359899	                 0	         0.1715895	                 0	             19951	              12.8	         8.9374987	                38	            38.624	         3.8625009	                 0	                 0	                 0
	         5.5557161	         0.1991547	                 0	        0.17153843	                 0	             19396	              12.8	         8.9370819	                39	            39.624	         3.8629177	                 0	                 0	                 0
	         5.5557161	        0.20471042	                 0	        0.17149372	                 0	             18872	              12.8	         8.9366653	                40	            40.624	         3.8633342	                 0	                 0	                 0
	          5.555701	        0.21026613	                 0	        0.17145795	                 0	             18375	              12.8	         8.9362489	                41	            41.624	         3.8637507	                 0	                 0	                 0
	         5.5556793	        0.21582182	                 0	         0.1714304	                 0	             17904	              12.8	         8.9358326	                42	            42.624	          3.864167	                 0	                 0	                 0
	         5.5556576	        0.22137749	                 0	        0.17140881	                 0	             17456	              12.8	         8.9354164	                43	            43.624	         3.8645832	                 0	                 0	                 0
	         5.5556379	        0.22693313	                 0	         0.1713922	                 0	             17031	              12.8	         8.9350003	                44	            44.624	         3.8649993	                 0	                 0	                 0
	         5.5556162	        0.23248876	                 0	        0.17138353	                 0	             16626	              12.8	         8.9345842	                45	            45.624	         3.8654154	                 0	                 0	                 0
	         5.5555838	        0.23804436	                 0	        0.17138905	                 0	             16239	              12.8	         8.9341681	                46	            46.624	         3.8658315	                 0	                 0	                 0
	         5.5555244	        0.24359992	                 0	        0.17142485	                 0	             15871	              12.8	         8.9337519	                47	            47.624	         3.8662477	                 0	                 0	                 0
	         5.5553922	        0.24915539	                 0	        0.17153562	                 0	             15519	              12.8	         8.9333354	                48	            48.624	         3.8666642	                 0	                 0	                 0
	         5.5551514	        0.25471068	                 0	        0.17176922	                 0	             15182	              12.8	         8.9329182	                49	            49.624	         3.8670814	                 0	                 0	                 0
	         5.5538052	        0.26026533	                 0	        0.17288795	                 0	             14859	              12.8	         8.9324982	                50	            50.624	         3.8675014	                 0	                 0	                 0
	         5.5531897	        0.26581845	                 0	        0.17404551	                 0	             14551	              12.8	         8.9320727	                51	            51.624	         3.8679269	                 0	                 0	                 0
	         5.5567434	        0.27137328	                 0	        0.17243838	                 0	             14254	              12.8	         8.9316507	                52	            52.624	         3.8683489	                 0	                 0	                 0
	         5.5586786	        0.27693128	                 0	        0.17080257	                 0	             13970	              12.8	         8.9312355	                53	            53.624	         3.8687641	                 0	                 0	                 0
	         5.5615263	        0.28249101	                 0	        0.16812776	                 0	             13696	              12.8	         8.9308271	                54	            54.624	         3.8691725	                 0	                 0	                 0
	         5.5643157	        0.28805432	                 0	        0.16426772	                 0	             13433	              12.8	         8.9304327	                55	            55.624	         3.8695669	                 0	                 0	                 0
	         5.5611563	        0.29361757	                 0	        0.16354371	                 0	             13180	              12.8	         8.9300445	                56	            56.624	         3.8699552	                 0	                 0	                 0
	         5.5521961	        0.29917468	                 0	         0.1674963	                 0	             12936	              12.8	         8.9296472	                57	            57.624	         3.8703524	                 0	                 0	                 0
	         5.5393244	        0.30472067	                 0	        0.17715254	                 0	             12702	              12.8	         8.9292216	                58	            58.624	          3.870778	                 0	                 0	                 0
	         5.5250882	        0.31025286	                 0	        0.19215888	                 0	             12477	              12.8	         8.9287486	                59	            59.624	         3.8712509	                 0	                 0	                 0
	         5.5132242	        0.31577166	                 0	        0.21055814	                 0	             12261	              12.8	         8.9282143	                60	            60.624	         3.8717851	                 0	                 0	                 0
	         5.5738653	        0.32129439	                 0	         0.4504729	                 0	             12053	              12.8	          8.927227	                61	            61.624	         3.8727716	                 0	                 0	                 0
	         6.2783343	        0.32715744	                 0	                 1	                 0	             11848	              12.8	         8.9237633	                62	            62.624	         3.8762327	                 0	                 0	                 0
	         7.1936102	        0.33389495	                 0	                 1	                 0	             11621	              12.8	         8.9195431	                63	            63.624	         3.8804524	                 0	                 0	                 0
	         8.0838683	        0.34153542	                 0	                 1	                 0	             11375	              12.8	         8.9148098	                64	            64.624	         3.8851852	                 0	                 0	                 0
