Car.v,DistanceKm,Driver.Brake,Driver.Gas,Driver.GearNo,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,Time,Time.Global,UsedCapacity,Vhcl.Wind.vx,Vhcl.Wind.vy,Vhcl.Wind.vz,target
0.0,0.0,0.0,0.0,0,-2147483648,16,11.2,0,0.624,4.8,0,0,0,53.270982
0.40707813,0.000103349,0.0,1.0,0,46445886,16,11.199866,1,1.624,4.8001332,0,0,0,53.270982
1.4260804,0.00101532,0.0,1.0,0,4728443,16,11.199116,2,2.624,4.8008828,0,0,0,53.270982
2.4568261,0.002956343,0.0,1.0,0,1624392,16,11.197735,3,3.624,4.8022629,0,0,0,53.270982
3.4862748,0.00592751,0.0,1.0,0,810502,16,11.195734,4,4.624,4.8042642,0,0,0,53.270982
4.5124279,0.009927165,0.0,0.98464328,0,484212,16,11.193133,5,5.624,4.8068642,0,0,0,53.270982
5.3825474,0.014900855,0.0,0.73296253,0,322756,16,11.190651,6,6.624,4.809347,0,0,0,53.270982
5.8791784,0.020564266,0.0,0.4142773,0,233943,16,11.189116,7,7.624,4.8108825,0,0,0,53.270982
5.9901991,0.026528225,0.0,0.13171443,0,181365,16,11.188702,8,8.624,4.8112981,0,0,0,53.270982
5.8499165,0.032459601,0.0,0.024312323,0,148219,16,11.188851,9,9.624,4.8111496,0,0,0,53.270982
5.6760464,0.038220483,0.0,0.045414046,0,125876,16,11.188932,10,10.624,4.8110679,0,0,0,53.270982
5.5497466,0.043828222,0.0,0.09533449,0,109773,16,11.188831,11,11.624,4.8111687,0,0,0,53.270982
5.4866334,0.049341451,0.0,0.14353564,0,97513,16,11.188544,12,12.624,4.811456,0,0,0,53.270982
5.4742588,0.054818521,0.0,0.17638535,0,87778,16,11.188127,13,13.624,4.8118726,0,0,0,53.270982
5.4915702,0.060299836,0.0,0.19199784,0,79807,16,11.187644,14,14.624,4.8123556,0,0,0,53.270982
5.5192399,0.06580501,0.0,0.19439886,0,73138,16,11.187145,15,15.624,4.8128545,0,0,0,53.270982
5.5447065,0.071337511,0.0,0.18934282,0,67472,16,11.18666,16,16.624,4.8133397,0,0,0,53.270982
5.5615077,0.076891445,0.0,0.18136212,0,62605,16,11.186202,17,17.624,4.8137971,0,0,0,53.270982
5.5687298,0.082457284,0.0,0.17438411,0,58384,16,11.185771,18,18.624,4.8142282,0,0,0,53.270982
5.5688187,0.088026515,0.0,0.16996804,0,54695,16,11.185358,19,19.624,4.8146416,0,0,0,53.270982
5.5651002,0.093593661,0.0,0.16816464,0,51446,16,11.184953,20,20.624,4.8150471,0,0,0,53.270982
5.5603981,0.099156407,0.0,0.1682089,0,48564,16,11.184548,21,21.624,4.8154518,0,0,0,53.270982
5.5564507,0.10471472,0.0,0.16928896,0,45990,16,11.18414,22,22.624,4.8158598,0,0,0,53.270982
5.554081,0.11026985,0.0,0.17065035,0,43677,16,11.183727,23,23.624,4.8162728,0,0,0,53.270982
5.5532522,0.1158234,0.0,0.17174056,0,41586,16,11.18331,24,24.624,4.8166899,0,0,0,53.270982
5.553486,0.12137671,0.0,0.17237484,0,39687,16,11.18289,25,25.624,4.8171096,0,0,0,53.270982
5.5542266,0.12693054,0.0,0.17258433,0,37954,16,11.182469,26,26.624,4.8175302,0,0,0,53.270982
5.5550425,0.13248518,0.0,0.17251456,0,36365,16,11.182049,27,27.624,4.8179508,0,0,0,53.270982
5.5556823,0.13804057,0.0,0.17228717,0,34905,16,11.181629,28,28.624,4.8183706,0,0,0,53.270982
5.5560435,0.14359645,0.0,0.1720288,0,33557,16,11.18121,29,29.624,4.8187894,0,0,0,53.270982
5.5561524,0.14915257,0.0,0.17182144,0,32310,16,11.180792,30,30.624,4.8192075,0,0,0,53.270982
